"zip_code","borough","rental_price","neighborhood","date"
10001,"Manhattan",3377.57401183518,"Chelsea and Clinton","x2020_12_31"
10001,"Manhattan",3397.64818337494,"Chelsea and Clinton","x2021_01_31"
10001,"Manhattan",3436.12738006442,"Chelsea and Clinton","x2021_02_28"
10001,"Manhattan",3501.26843271952,"Chelsea and Clinton","x2021_03_31"
10001,"Manhattan",3619.4511190557,"Chelsea and Clinton","x2021_04_30"
10001,"Manhattan",3788.29652224627,"Chelsea and Clinton","x2021_05_31"
10001,"Manhattan",3984.84649758298,"Chelsea and Clinton","x2021_06_30"
10001,"Manhattan",4197.27037171555,"Chelsea and Clinton","x2021_07_31"
10001,"Manhattan",4358.61301725962,"Chelsea and Clinton","x2021_08_31"
10001,"Manhattan",4495.5876870179,"Chelsea and Clinton","x2021_09_30"
10001,"Manhattan",4517.00920249934,"Chelsea and Clinton","x2021_10_31"
10001,"Manhattan",4533.40601714443,"Chelsea and Clinton","x2021_11_30"
10001,"Manhattan",4537.24264841675,"Chelsea and Clinton","x2021_12_31"
10001,"Manhattan",4550.2529586787,"Chelsea and Clinton","x2022_01_31"
10001,"Manhattan",4635.70557132107,"Chelsea and Clinton","x2022_02_28"
10001,"Manhattan",4652.74825393898,"Chelsea and Clinton","x2022_03_31"
10001,"Manhattan",4699.45940316226,"Chelsea and Clinton","x2022_04_30"
10001,"Manhattan",4734.72221906633,"Chelsea and Clinton","x2022_05_31"
10001,"Manhattan",4844.55243404181,"Chelsea and Clinton","x2022_06_30"
10001,"Manhattan",4960.53274079564,"Chelsea and Clinton","x2022_07_31"
10001,"Manhattan",5020.9208848908,"Chelsea and Clinton","x2022_08_31"
10001,"Manhattan",5013.24006181912,"Chelsea and Clinton","x2022_09_30"
10001,"Manhattan",4946.8551625779,"Chelsea and Clinton","x2022_10_31"
10001,"Manhattan",4840.52054385176,"Chelsea and Clinton","x2022_11_30"
10001,"Manhattan",4720.33027291098,"Chelsea and Clinton","x2022_12_31"
10001,"Manhattan",4672.01071399394,"Chelsea and Clinton","x2023_01_31"
10001,"Manhattan",4691.98395560295,"Chelsea and Clinton","x2023_02_28"
10001,"Manhattan",4749.50960663906,"Chelsea and Clinton","x2023_03_31"
10001,"Manhattan",4841.80483914295,"Chelsea and Clinton","x2023_04_30"
10001,"Manhattan",4903.26019708702,"Chelsea and Clinton","x2023_05_31"
10001,"Manhattan",4992.12827539289,"Chelsea and Clinton","x2023_06_30"
10001,"Manhattan",5052.62044872701,"Chelsea and Clinton","x2023_07_31"
10001,"Manhattan",5112.28484912285,"Chelsea and Clinton","x2023_08_31"
10001,"Manhattan",5096.98075906198,"Chelsea and Clinton","x2023_09_30"
10001,"Manhattan",5023.06976035362,"Chelsea and Clinton","x2023_10_31"
10001,"Manhattan",4923.64375551844,"Chelsea and Clinton","x2023_11_30"
10001,"Manhattan",4863.17189855019,"Chelsea and Clinton","x2023_12_31"
10001,"Manhattan",4842.41142193806,"Chelsea and Clinton","x2024_01_31"
10001,"Manhattan",4876.82551069853,"Chelsea and Clinton","x2024_02_29"
10001,"Manhattan",4907.83843377841,"Chelsea and Clinton","x2024_03_31"
10001,"Manhattan",4996.33967748837,"Chelsea and Clinton","x2024_04_30"
10001,"Manhattan",5076.39756247302,"Chelsea and Clinton","x2024_05_31"
10001,"Manhattan",5148.42937050692,"Chelsea and Clinton","x2024_06_30"
10001,"Manhattan",5176.02022372047,"Chelsea and Clinton","x2024_07_31"
10001,"Manhattan",5174.64070881226,"Chelsea and Clinton","x2024_08_31"
10002,"Manhattan",3316.65913786397,"Lower East Side","x2015_01_31"
10002,"Manhattan",3296.52888958868,"Lower East Side","x2015_02_28"
10002,"Manhattan",3271.30430050666,"Lower East Side","x2015_03_31"
10002,"Manhattan",3315.10291241122,"Lower East Side","x2015_04_30"
10002,"Manhattan",3351.00432071725,"Lower East Side","x2015_05_31"
10002,"Manhattan",3401.43476964693,"Lower East Side","x2015_06_30"
10002,"Manhattan",3414.58748772238,"Lower East Side","x2015_07_31"
10002,"Manhattan",3429.32414332634,"Lower East Side","x2015_08_31"
10002,"Manhattan",3416.84224551551,"Lower East Side","x2015_09_30"
10002,"Manhattan",3373.04221987258,"Lower East Side","x2015_10_31"
10002,"Manhattan",3355.5289399848,"Lower East Side","x2015_11_30"
10002,"Manhattan",3326.27584152331,"Lower East Side","x2015_12_31"
10002,"Manhattan",3334.19911181643,"Lower East Side","x2016_01_31"
10002,"Manhattan",3351.77818887832,"Lower East Side","x2016_02_29"
10002,"Manhattan",3378.2512476147,"Lower East Side","x2016_03_31"
10002,"Manhattan",3388.93013028256,"Lower East Side","x2016_04_30"
10002,"Manhattan",3392.79625709168,"Lower East Side","x2016_05_31"
10002,"Manhattan",3431.60821603072,"Lower East Side","x2016_06_30"
10002,"Manhattan",3468.89278910337,"Lower East Side","x2016_07_31"
10002,"Manhattan",3484.31170701167,"Lower East Side","x2016_08_31"
10002,"Manhattan",3472.09540426274,"Lower East Side","x2016_09_30"
10002,"Manhattan",3465.54998767272,"Lower East Side","x2016_10_31"
10002,"Manhattan",3407.17947859628,"Lower East Side","x2016_11_30"
10002,"Manhattan",3385.90684261156,"Lower East Side","x2016_12_31"
10002,"Manhattan",3368.97127410797,"Lower East Side","x2017_01_31"
10002,"Manhattan",3428.94484247876,"Lower East Side","x2017_02_28"
10002,"Manhattan",3458.17642029077,"Lower East Side","x2017_03_31"
10002,"Manhattan",3478.19059727175,"Lower East Side","x2017_04_30"
10002,"Manhattan",3487.56922187777,"Lower East Side","x2017_05_31"
10002,"Manhattan",3503.33205803633,"Lower East Side","x2017_06_30"
10002,"Manhattan",3523.67683171598,"Lower East Side","x2017_07_31"
