RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,2020/1/31,2020/2/29,2020/3/31,2020/4/30,2020/5/31,2020/6/30,2020/7/31,2020/8/31,2020/9/30,2020/10/31,2020/11/30,2020/12/31,2021/1/31,2021/2/28,2021/3/31,2021/4/30,2021/5/31,2021/6/30,2021/7/31,2021/8/31,2021/9/30,2021/10/31,2021/11/30,2021/12/31,2022/1/31,2022/2/28,2022/3/31,2022/4/30,2022/5/31,2022/6/30,2022/7/31,2022/8/31,2022/9/30,2022/10/31,2022/11/30,2022/12/31,2023/1/31,2023/2/28,2023/3/31,2023/4/30,2023/5/31,2023/6/30,2023/7/31,2023/8/31,2023/9/30,2023/10/31,2023/11/30,2023/12/31,2024/1/31,2024/2/29,2024/3/31,2024/4/30,2024/5/31,2024/6/30,2024/7/31,2024/8/31,2024/9/30,2024/10/31
399545,3936,10065,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,1748395.189,1738214.598,1733776.028,1723782.967,1732513.226,1730248.861,1725418.905,1708791.264,1712745.387,1722805.292,1727981.866,1728554.862,1728768.205,1744594.544,1769747.151,1791872.956,1811279.097,1826086.093,1843169.31,1852539.992,1850421.868,1852024.157,1861846.701,1875058.306,1885245.533,1897010.441,1928814.588,1955619.4,1985100.403,1999783.345,2001343.636,1980481.14,1943394.42,1918512.305,1893033.376,1858041.636,1813896.209,1769067.23,1731762.778,1696881.915,1673322.315,1659813.585,1653915.461,1645120.267,1633190.676,1615506.275,1598201.959,1585568.007,1577000.755,1563069.611,1555407.538,1550339.749,1544963.107,1535791.823,1532064.111,1534397.443,1537272.479,1541657.483
61886,3950,10598,zip,NY,NY,Yorktown Heights,"New York-Newark-Jersey City, NY-NJ-PA",Westchester County,491462.3371,496789.5069,500200.6022,501935.8162,500830.3136,498077.2384,492135.6546,486875.6931,484061.5559,484462.3962,488715.7976,495444.4294,502913.4081,510487.724,516958.2031,522739.6836,527892.3009,533111.3985,536848.3485,538188.853,537849.9759,539091.2561,541627.4099,544779.0259,548847.09,555091.5001,562964.3956,571222.6869,577510.7284,583286.3625,586672.1301,589053.45,588871.7388,587987.3727,586380.6072,582561.1368,580862.7821,578324.3982,578842.7167,577498.9433,578625.6797,580991.1154,585882.5205,592134.3689,598894.1587,604843.0498,609535.2535,614344.9063,617901.2821,622798.3232,628211.1595,634706.5141,641423.6268,646759.074,651501.5969,655403.2397,658377.768,660695.5828
61627,3951,10013,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,3745306.207,3697654.666,3645356.581,3600431.767,3578470.938,3553000.731,3504898.573,3443674.433,3393539.32,3354053.837,3318592.926,3284407.525,3255332.377,3242912.736,3248815.911,3259485.373,3276607.194,3294791.875,3330717.001,3376937.538,3427468.153,3485034.024,3539949.935,3582922.775,3612968.976,3645465.364,3700760.744,3734482.033,3759454.768,3754587.75,3729999.432,3691953.284,3640450.404,3635501.051,3636822.625,3646917.407,3610637.013,3539658.977,3455882.245,3404288.655,3386014.036,3398917.256,3409055.209,3420303.816,3405009.071,3371030.267,3325437.271,3285332.939,3275716.637,3275271.079,3291745.04,3291540.699,3287631.317,3265408.422,3259730.419,3247798.354,3254516.924,3254022.468
63485,3961,14228,zip,NY,NY,Buffalo,"Buffalo-Cheektowaga, NY",Erie County,215802.1402,216379.9813,217461.1045,218663.3124,219725.084,220658.9384,221807.5927,223560.7651,225981.251,229033.8255,232591.1774,235935.1217,238689.9881,241311.8465,244133.4604,247392.5473,251268.5416,255911.3022,259909.6231,262688.603,263548.1603,264259.1507,264960.9806,266075.9417,268397.5071,272039.2556,277009.7682,282542.6793,287965.7594,293361.3398,296929.8659,298363.3831,297516.7633,295909.3635,294762.8306,293823.9013,293214.2995,292814.2158,293616.9758,295329.5971,297936.3776,300575.7834,303153.1108,305307.014,306954.9939,308263.6734,309493.9055,310574.8838,311582.8856,312785.8368,315008.6815,318117.8245,320986.8766,322687.2032,323415.359,324029.0461,325077.6359,326192.1556
62523,4000,12302,zip,NY,NY,Schenectady,"Albany-Schenectady-Troy, NY",Schenectady County,206607.321,207431.3006,208248.9894,208945.9343,209388.5266,210048.5721,210915.854,212187.3231,214061.6144,216383.2836,218895.5754,221237.3021,223433.4187,226129.0861,229260.3591,232162.1127,234970.1619,237765.28,240354.9057,241991.0635,242597.3401,243127.4818,244228.5085,245280.5902,247195.6675,249428.1256,252529.0589,255673.7756,258496.3006,261273.0445,263645.1526,265520.1976,266205.0892,266399.5277,266545.4702,267094.9598,267369.2242,268078.1937,268860.9507,270094.2488,271654.2872,273866.8211,276155.9187,277959.4272,279242.9654,280289.4116,281246.3978,282462.1627,283621.2591,285265.7899,287369.4703,289925.1728,292219.2789,293833.8589,295379.9428,297043.8467,299078.4218,300677.9739
62005,4044,11102,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,770405.7188,764774.3547,753699.9552,740985.3971,730555.5682,720642.4176,712689.1123,703273.1266,696229.7932,690289.0903,685696.165,682302.81,679531.1561,678397.8341,679770.584,680368.8637,682097.1111,683401.2833,685974.4851,687182.9942,686957.9102,688928.3895,693387.7977,698397.0878,699915.1699,697851.67,694751.4728,693199.6677,693126.3134,695576.8672,696082.7392,694881.504,690601.334,687906.4694,686769.1107,687796.078,686650.2606,681983.8278,674295.063,670574.1524,671905.1304,673723.9283,671039.5915,664285.7216,660166.1494,656558.0022,652049.8432,647369.2949,644579.6977,644781.6595,645270.6384,645368.638,645300.1238,645978.2369,648925.761,654554.7046,659303.7121,664202.2026
399546,4062,10075,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,1360498.313,1354552.403,1348962.13,1337749.095,1336701.988,1332591.292,1322920.306,1303086.289,1294563.101,1296797.79,1301970.819,1309089.313,1316364.284,1331312.079,1343764.051,1346026.483,1346102.16,1348727.98,1365933.853,1379763.397,1384653.346,1385765.541,1388857.614,1393645.993,1394010.949,1400100.876,1430460.148,1460614.694,1486011.769,1493707.395,1488469.439,1465681.229,1427125.896,1393059.232,1357966.883,1307950.683,1250123.868,1196746.279,1164418.268,1147744.984,1139447.469,1132609.795,1128589.951,1128209.616,1132107.534,1131464.368,1125637.746,1117925.304,1111969.203,1107860.3,1104236.834,1101851.658,1097795.646,1096605.531,1099869.439,1108412.52,1113305.633,1116956.563
63627,4094,14606,zip,NY,NY,Rochester,"Rochester, NY",Monroe County,112806.8364,113247.9365,113680.4227,114322.9536,115141.335,116168.8056,117417.9443,119051.9535,121259.7633,123878.7977,126436.1144,128450.0122,129897.6782,131190.299,132788.2136,134637.451,137008.694,139676.9922,141984.6886,143275.7602,143370.8385,143147.2906,143059.0174,143190.4758,144469.2253,146911.6244,150266.0181,153433.139,156024.3171,158413.3494,160146.6157,160981.1988,160840.3651,160306.5776,159818.1652,159650.4624,159453.0926,159584.4993,160177.4548,161523.6006,163408.6589,165702.4473,168347.1525,171290.3669,173525.6793,174739.085,174962.8449,175051.4543,175546.9625,176714.1319,178785.6275,181518.6389,184491.4768,187005.7099,188864.9917,190110.7898,191073.2549,191857.2311
62160,4110,11570,zip,NY,NY,Rockville Centre,"New York-Newark-Jersey City, NY-NJ-PA",Nassau County,694014.9159,697116.2802,702569.9089,708082.2276,711910.412,711862.4644,709419.3699,705880.8038,706064.9942,708847.3275,714822.0134,723149.2351,731020.1552,739845.4424,747108.3346,754812.27,760987.0383,767311.3214,771223.2169,773124.3106,773068.4102,773294.9953,775113.3127,777662.983,781449.6534,785424.3675,790334.901,795208.6169,800142.2474,807659.4283,813943.5604,818354.5027,817724.2835,816041.0961,815169.4433,813670.2536,811181.5491,808813.7876,807949.5312,811476.073,816940.9178,824289.23,831042.1695,835853.6949,839523.8117,842735.5634,845780.5766,850021.1924,854319.2127,859261.9023,865383.5881,872366.7259,879988.0403,885231.0023,889880.3253,894457.5157,899392.7194,902823.4617
63351,4113,13905,zip,NY,NY,Binghamton,"Binghamton, NY",Broome County,108154.9564,108681.2225,109335.5417,109941.0647,110204.5858,110231.072,110235.4554,110493.5227,111120.0645,112353.6481,114262.4893,116165.2221,117846.2811,119428.9428,121053.5153,122599.6095,124227.431,126391.4965,128663.3045,130612.5734,131621.2387,132146.8263,132479.4699,132841.3843,133711.6417,135085.8431,136889.9953,138912.2591,140515.9683,142242.9928,143272.8561,143768.0971,143821.8615,144019.6973,144644.6754,145396.6726,146054.6453,146911.6952,148105.0506,149747.2112,151455.0458,153241.5098,154850.0944,155899.6241,156464.1073,157125.8862,158201.7933,159606.9797,161198.2933,163029.1104,165005.6566,167080.8493,169304.6442,171235.8545,172529.4543,173306.6527,173917.964,174370.3723
