RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,2020/1/31,2020/2/29,2020/3/31,2020/4/30,2020/5/31,2020/6/30,2020/7/31,2020/8/31,2020/9/30,2020/10/31,2020/11/30,2020/12/31,2021/1/31,2021/2/28,2021/3/31,2021/4/30,2021/5/31,2021/6/30,2021/7/31,2021/8/31,2021/9/30,2021/10/31,2021/11/30,2021/12/31,2022/1/31,2022/2/28,2022/3/31,2022/4/30,2022/5/31,2022/6/30,2022/7/31,2022/8/31,2022/9/30,2022/10/31,2022/11/30,2022/12/31,2023/1/31,2023/2/28,2023/3/31,2023/4/30,2023/5/31,2023/6/30,2023/7/31,2023/8/31,2023/9/30,2023/10/31,2023/11/30,2023/12/31,2024/1/31,2024/2/29,2024/3/31,2024/4/30,2024/5/31,2024/6/30,2024/7/31,2024/8/31,2024/9/30,2024/10/31
61771,10844,10280,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,3669.465238,3642.444083,3752.649044,3731.509587,3667.072327,3513.092889,3422.483624,3308.818296,3241.45042,3205.381079,3208.233718,3202.212674,3199.493893,3163.169865,3152.472641,3187.961849,3312.146572,3524.788561,3726.386306,3904.15579,4020.83637,4103.685379,4131.793244,4152.236906,4144.252539,4213.13178,4231.822211,4268.273167,4268.973917,4317.567677,4406.892347,4468.566996,4479.671115,4343.83676,4250.946187,4152.916234,4158.079955,4206.283853,4300.643346,4394.412036,4444.434231,4534.949062,4657.332324,4681.578686,4683.7363,4583.990869,4574.285652,4468.409048,4351.612301,4288.234668,4278.081175,4407.250931,4567.451118,4721.902504,4872.38306,4895.659387,4858.976855,4790.607517
62472,10875,12202,zip,NY,NY,Albany,"Albany-Schenectady-Troy, NY",Albany County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1270.488525,1302.512284,1278.063605,1283.598324,1324.13528,1289.485277,1323.323957,,1356.25
63466,10879,14209,zip,NY,NY,Buffalo,"Buffalo-Cheektowaga, NY",Erie County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1340.79105,1331.192564,1325.208934,1343.330595,1365.793853,1376.355678,1388.416736,1405.426062,1412.008089,1356.652313,1323.374027,1327.075384,1389.57151,1422.965005,1425.486507,1428.558816,1468.616344,1475.361352,1476.059828,1475.361751,1480.208333
63461,11301,14204,zip,NY,NY,Buffalo,"Buffalo-Cheektowaga, NY",Erie County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595.339329,1592.306434,1611.111111
61773,12178,10282,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,,,,,,,,,,,,,,,,,,,,,,5732.610421,5936.951541,5882.418294,5906.508442,5899.39418,6183.508322,6438.75623,6607.161862,6702.081701,6720.222028,6794.673547,6807.609496,6666.001575,6570.323012,6622.02934,6662.770327,7019.143552,7016.233095,7212.347664,7121.59569,7223.161469,7184.298142,7052.523222,6968.639729,6900.324119,6987.458485,6840.455278,6906.957888,6838.712918,6953.517582,7032.915074,7239.698719,7435.064729,7575.430826,7614.983737,7611.492878,7675
62332,12209,12018,zip,NY,NY,Averill Park,"Albany-Schenectady-Troy, NY",Rensselaer County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650
62310,12238,11963,zip,NY,NY,Sag Harbor,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57642.51871,51197.26796,50614.24276,47972.93056,49316.35781,51563.40811,56280.77073,59157.92611,57887.72427,59240.43002,61104.94541,61237.09138,59096.72355,56080.26723,55034.70833
62010,12258,11109,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,3137.009751,3136.992473,3182.594889,3176.499483,3141.621728,3120.36003,3090.52748,3012.842999,2912.329509,2972.487667,3077.836062,3191.587266,3135.599128,3039.795458,2890.991558,2863.032237,2953.821031,3115.030317,3259.180407,3370.429977,3478.997781,3511.144818,3521.700608,3509.08791,3502.831989,3535.779893,3591.119413,3679.885837,3763.47145,3844.007796,3947.766402,3967.679372,3994.15431,3949.902166,3937.202329,3897.030586,3838.793112,3830.416775,3855.316608,3927.047979,3983.737243,4022.293046,4097.870314,4139.10262,4171.929499,4106.873837,4027.632072,3956.643382,3949.930393,3986.15743,4033.588583,4084.379474,4145.288688,4192.847549,4244.649441,4238.178331,4259.125893,4192.916667
62324,12427,11980,zip,NY,NY,Yaphank,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,,,,,,,,,,,,,,,,,,,,,,,,,2774.613233,2774.984173,2766.160627,2765.139635,2808.933158,2824.351485,2854.606796,2914.049398,2936.465354,3041.06239,3070.83231,3169.834429,3177.651146,3147.591434,3018.32678,2971.847535,2978.537175,3059.536006,3114.575573,3099.739191,3027.282292,2995.333251,3055.73278,3049.35929,3072.26871,3096.40889,3161.737404,3138.957767,3199.467015,3230.929105,3271.733849,3216.876043,3215.945376,3165.444444
63504,12472,14303,zip,NY,NY,Niagara Falls,"Buffalo-Cheektowaga, NY",Niagara County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1199.980913,1191.666667
62301,14208,11954,zip,NY,NY,Montauk,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29930.19544,29300
63459,14565,14202,zip,NY,NY,Buffalo,"Buffalo-Cheektowaga, NY",Erie County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1749.947663,1781.230511,1752.32599,1764.004117,1750.009815,1791.227555,1845.833333
61620,14713,10006,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,,,,,3586.435368,3496.076907,3471.154684,3365.785507,3182.615297,3017.670814,2922.598102,2899.028908,2869.413054,2911.905935,2955.717318,3076.754186,3147.097079,3266.340093,3435.299019,3618.761316,3759.966159,3799.891643,3809.661888,3805.901638,3841.50304,3859.396635,3961.756881,4034.613155,4155.104303,4213.575796,4264.049201,4256.305226,4243.816368,4300.477638,4239.635216,4143.381797,3990.993426,4005.779409,4119.183838,4229.757003,4328.105612,4352.161049,4344.05329,4317.229676,4334.545975,4345.682787,4347.233576,4268.729521,4297.272375,4299.073257,4344.50041,4365.33091,4386.423098,4464.301852,4497.985074,4522.710745,4488.408609,4414.714815
62193,15347,11709,zip,NY,NY,Bayville,"New York-Newark-Jersey City, NY-NJ-PA",Nassau County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400
62321,16282,11976,zip,NY,NY,Water Mill,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62546.57903,67803.38362,66111.16667
62302,16873,11955,zip,NY,NY,Moriches,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2336.288423,2265.509335,2298.12181,2339.013898,2312.085718,2309.24823,2326.356549,2387.660187,2431.609609,2441.511111
62281,25422,11930,zip,NY,NY,Amagansett,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72039.56828,82916.5
61618,30490,10004,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,3519.932941,3566.512516,3593.200434,3553.161417,3491.794695,3465.651247,3411.427475,3303.13701,3143.532062,2957.37524,2832.837049,2794.40189,2752.083961,2817.144226,2908.015408,3061.118546,3199.761374,3338.164246,3547.178202,3666.512832,3863.472689,3902.78106,3949.796369,3884.488743,3954.757097,4035.099772,4160.050973,4193.24119,4276.600935,4326.292785,4392.462367,4413.289283,4403.943904,4302.224962,4167.217846,4018.660746,4002.731981,4064.798783,4162.269129,4318.048791,4407.204096,4458.114273,4426.830451,4431.396732,4427.644217,4480.815969,4388.362953,4192.973418,4184.605555,4255.971411,4502.369834,4544.501661,4638.60054,4716.883681,4736.966193,4714.423497,4660.887826,4573.952381
